Date,Store ID,Product ID,Quantity sold
2022-01-01,S001,P001,15
2022-01-01,S002,P003,9
2022-01-02,S003,P002,5
2022-01-02,S004,P004,8
2022-01-03,S001,P005,12
2022-01-04,S002,P006,10
2022-01-05,S003,P007,14
2022-01-06,S004,P008,7
2022-01-07,S001,P009,20
2022-01-08,S002,P010,13
2022-01-09,S003,P001,11
2022-01-10,S004,P002,7
2022-01-11,S001,P003,9
2022-01-12,S002,P004,5
2022-01-13,S003,P005,8
2022-01-14,S004,P006,12
2022-01-15,S001,P007,10
2022-01-16,S002,P008,14
2022-01-17,S003,P009,7
2022-01-18,S004,P010,20
2022-01-19,S001,P001,13
2022-01-20,S002,P002,11
2022-01-21,S003,P003,7
2022-01-22,S004,P004,9
2022-01-23,S001,P005,5
2022-01-24,S002,P006,8
2022-01-25,S003,P007,12
2022-01-26,S004,P008,10
2022-01-27,S001,P009,14
2022-01-28,S002,P010,7
2022-01-29,S003,P001,20
2022-01-30,S004,P002,13
2022-01-31,S001,P003,11
